Timestamp_MS,Channel,Frame_Size_Bytes,RSSI_dBm,MAC_Address
3599124,1,356,-76,3C:46:A1:70:A0:B3
3599134,1,364,-77,3C:46:A1:70:A0:B4
3599194,1,119,-76,08:65:F0:DA:4D:63
3599214,1,356,-80,3C:46:A1:6D:8B:33
3599214,1,340,-71,3C:46:A1:6D:8B:F2
3599214,1,356,-72,3C:46:A1:6D:8B:F3
3599214,1,364,-71,3C:46:A1:6D:8B:F4
3599234,1,340,-71,3C:46:A1:6D:9B:B2
3599234,1,356,-72,3C:46:A1:6D:9B:B3
3599234,1,364,-77,3C:46:A1:70:A0:B4
3599264,1,356,-81,3C:46:A1:6D:93:93
3599294,1,119,-78,08:65:F0:DA:4D:63
3599314,1,356,-79,3C:46:A1:6D:8B:33
3599314,1,340,-71,3C:46:A1:6D:8B:F2
3599314,1,356,-70,3C:46:A1:6D:8B:F3
3599314,1,364,-72,3C:46:A1:6D:8B:F4
3599334,1,340,-74,3C:46:A1:6D:9B:B2
3599334,1,364,-76,3C:46:A1:70:A0:B4
3599374,1,356,-79,3C:46:A1:6D:93:93
3599414,1,356,-80,3C:46:A1:6D:8B:33
3599414,1,340,-71,3C:46:A1:6D:8B:F2
3599414,1,356,-71,3C:46:A1:6D:8B:F3
3599414,1,364,-71,3C:46:A1:6D:8B:F4
3599434,1,340,-76,3C:46:A1:6D:9B:B2
3599464,1,350,-72,3C:46:A1:6D:8B:F3
3599464,1,350,-72,3C:46:A1:6D:8B:F3
3599464,1,350,-71,3C:46:A1:6D:8B:F3
3599474,1,356,-79,3C:46:A1:6D:93:93
3599474,1,350,-71,3C:46:A1:6D:8B:F3
3599494,1,119,-82,08:65:F0:DA:4D:63
3599514,1,356,-80,3C:46:A1:6D:8B:33
3599514,1,340,-71,3C:46:A1:6D:8B:F2
3599524,1,356,-71,3C:46:A1:6D:8B:F3
3599524,1,364,-70,3C:46:A1:6D:8B:F4
3599534,1,363,-75,3C:46:A1:6D:9B:B2
3599534,1,363,-74,3C:46:A1:6D:9B:B2
3599534,1,366,-80,3C:46:A1:6D:8B:33
3599544,1,366,-78,3C:46:A1:6D:8B:33
